Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fx Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
3.6560,1792.1418
3.6600,1802.0615
3.6640,1793.7952
3.6680,1792.1418
3.6720,1803.7147
3.6760,1807.0214
3.6800,1803.7147
3.6840,1800.4082
3.6880,1805.3680
3.6920,1811.9811
3.6960,1815.2876
3.7000,1807.0214
3.7040,1807.0214
3.7080,1818.5942
3.7120,1823.5540
3.7160,1813.6344
3.7200,1820.2473
3.7240,1825.2073
3.7280,1830.1671
3.7320,1821.9006
3.7360,1818.5942
3.7400,1831.8202
3.7440,1836.7800
3.7480,1826.8605
3.7520,1830.1671
3.7560,1836.7800
3.7600,1836.7800
3.7640,1835.1268
3.7680,1833.4735
3.7720,1841.7400
3.7760,1846.6997
3.7800,1841.7400
3.7840,1838.4333
3.7880,1845.0464
3.7920,1853.3129
3.7960,1853.3129
3.8000,1843.3931
3.8040,1843.3931
3.8080,1861.5791
3.8120,1864.8857
3.8160,1851.6595
3.8200,1853.3129
3.8240,1863.2324
3.8280,1871.4987
3.8320,1859.9258
3.8360,1858.2726
3.8400,1866.5388
3.8440,1878.1117
3.8480,1869.8455
3.8520,1869.8455
3.8560,1871.4987
3.8600,1876.4585
3.8640,1876.4585
3.8680,1878.1117
3.8720,1879.7650
3.8760,1881.4183
3.8800,1881.4183
3.8840,1878.1117
3.8880,1881.4183
3.8920,1891.3379
3.8960,1889.6847
3.9000,1883.0715
3.9040,1888.0314
3.9080,1892.9911
3.9120,1892.9911
3.9160,1889.6847
3.9200,1891.3379
3.9240,1896.2977
3.9280,1899.6042
3.9320,1896.2977
3.9360,1896.2977
3.9400,1904.5640
3.9440,1906.2173
3.9480,1906.2173
3.9520,1896.2977
3.9560,1909.5239
3.9600,1912.8304
3.9640,1906.2173
3.9680,1901.2576
3.9720,1897.9510
3.9760,1909.5239
3.9800,1907.8706
3.9840,1889.6847
3.9880,1896.2977
3.9920,1902.9108
3.9960,1899.6042
4.0000,1892.9911
4.0040,1886.3782
4.0080,1896.2977
4.0120,1901.2576
4.0160,1886.3782
4.0200,1886.3782
4.0240,1888.0314
4.0280,1889.6847
4.0320,1884.7249
4.0360,1878.1117
4.0400,1884.7249
4.0440,1884.7249
4.0480,1881.4183
4.0520,1879.7650
4.0560,1878.1117
4.0600,1883.0715
4.0640,1879.7650
4.0680,1871.4987
4.0720,1879.7650
4.0760,1876.4585
4.0800,1869.8455
4.0840,1873.1520
4.0880,1871.4987
4.0920,1871.4987
4.0960,1866.5388
4.1000,1858.2726
4.1040,1863.2324
4.1080,1868.1921
4.1120,1858.2726
4.1160,1843.3931
4.1200,1846.6997
4.1240,1854.9659
4.1280,1848.3529
4.1320,1838.4333
4.1360,1835.1268
4.1400,1835.1268
4.1440,1841.7400
4.1480,1830.1671
4.1520,1818.5942
4.1560,1828.5138
4.1600,1833.4735
4.1640,1821.9006
4.1680,1813.6344
4.1720,1815.2876
4.1760,1818.5942
4.1800,1810.3278
4.1840,1798.7549
4.1880,1802.0615
4.1920,1802.0615
4.1960,1793.7952
4.2000,1790.4886
4.2040,1783.8755
4.2080,1785.5288
4.2120,1782.2223
4.2160,1777.2625
4.2200,1772.3026
4.2240,1772.3026
4.2280,1770.6494
4.2320,1765.6896
4.2360,1759.0765
4.2400,1765.6896
4.2440,1764.0363
4.2480,1754.1167
4.2520,1747.5037
4.2560,1754.1167
4.2600,1759.0765
4.2640,1744.1971
4.2680,1730.9709
4.2720,1739.2373
4.2760,1739.2373
4.2800,1727.6644
4.2840,1721.0514
4.2880,1724.3579
4.2920,1721.0514
4.2960,1719.3981
4.3000,1704.5187
4.3040,1707.8252
4.3080,1709.4785
4.3120,1704.5187
4.3160,1697.9056
4.3200,1694.5991
4.3240,1692.9458
4.3280,1694.5991
4.3320,1683.0262
4.3360,1678.0664
4.3400,1679.7196
4.3440,1679.7196
4.3480,1668.1467
4.3520,1659.8805
4.3560,1659.8805
4.3600,1669.8000
4.3640,1659.8805
4.3680,1649.9609
4.3720,1654.9207
4.3760,1656.5739
4.3800,1653.2675
4.3840,1641.6946
4.3880,1646.6543
4.3920,1646.6543
4.3960,1638.3881
4.4000,1628.4684
4.4040,1628.4684
4.4080,1633.4281
4.4120,1625.1619
4.4160,1616.8955
4.4200,1618.5488
4.4240,1611.9357
4.4280,1615.2423
4.4320,1605.3228
4.4360,1600.3628
4.4400,1600.3628
4.4440,1603.6694
4.4480,1592.0966
4.4520,1583.8301
4.4560,1587.1367
4.4600,1588.7899
4.4640,1578.8704
4.4680,1570.6041
4.4720,1577.2170
4.4760,1582.1770
4.4800,1567.2975
4.4840,1559.0313
4.4880,1563.9910
4.4920,1565.6443
4.4960,1560.6843
4.5000,1550.7648
4.5040,1547.4584
4.5080,1549.1115
4.5120,1545.8051
4.5160,1535.8855
4.5200,1539.1919
4.5240,1539.1919
4.5280,1539.1919
4.5320,1535.8855
4.5360,1524.3126
4.5400,1530.9257
4.5440,1534.2322
4.5480,1521.0060
4.5520,1512.7397
4.5560,1514.3929
4.5600,1519.3528
4.5640,1509.4331
4.5680,1501.1669
4.5720,1504.4733
4.5760,1506.1266
4.5800,1502.8201
4.5840,1492.9004
4.5880,1494.5537
4.5920,1499.5135
4.5960,1486.2875
4.6000,1479.6743
4.6040,1481.3275
4.6080,1484.6342
4.6120,1481.3275
4.6160,1469.7546
4.6200,1468.1014
4.6240,1466.4481
4.6280,1469.7546
4.6320,1454.8752
4.6360,1449.9155
4.6400,1461.4884
4.6440,1459.8351
4.6480,1451.5688
4.6520,1443.3024
4.6560,1446.6090
4.6600,1454.8752
4.6640,1441.6493
4.6680,1431.7295
4.6720,1443.3024
4.6760,1443.3024
4.6800,1435.0361
4.6840,1426.7698
4.6880,1426.7698
4.6920,1435.0361
4.6960,1428.4231
4.7000,1418.5035
4.7040,1421.8099
4.7080,1425.1165
4.7120,1423.4633
4.7160,1415.1969
4.7200,1406.9307
4.7240,1411.8904
4.7280,1410.2371
4.7320,1403.6240
4.7360,1393.7045
4.7400,1401.9708
4.7440,1401.9708
4.7480,1388.7446
4.7520,1383.7848
4.7560,1388.7446
4.7600,1385.4380
4.7640,1377.1718
4.7680,1370.5587
4.7720,1373.8651
4.7760,1378.8251
4.7800,1367.2522
4.7840,1360.6390
4.7880,1363.9456
4.7920,1367.2522
4.7960,1363.9456
4.8000,1349.0662
4.8040,1352.3727
4.8080,1355.6793
4.8120,1350.7195
4.8160,1344.1064
4.8200,1335.8401
4.8240,1339.1466
4.8280,1345.7598
4.8320,1329.2269
4.8360,1327.5737
4.8400,1332.5336
4.8440,1330.8802
4.8480,1319.3074
4.8520,1316.0009
4.8560,1319.3074
4.8600,1320.9607
4.8640,1311.0411
4.8680,1307.7345
4.8720,1302.7747
4.8760,1309.3878
4.8800,1302.7747
4.8840,1297.8149
4.8880,1292.8551
4.8920,1292.8551
4.8960,1296.1616
4.9000,1282.9355
4.9040,1279.6289
4.9080,1281.2822
4.9120,1281.2822
4.9160,1274.6692
4.9200,1268.0560
4.9240,1274.6692
4.9280,1273.0159
4.9320,1264.7496
4.9360,1256.4832
4.9400,1261.4430
4.9440,1259.7898
4.9480,1249.8701
4.9520,1243.2571
4.9560,1246.5636
4.9600,1251.5234
4.9640,1248.2169
4.9680,1238.2974
4.9720,1238.2974
4.9760,1244.9103
4.9800,1234.9907
4.9840,1221.7645
4.9880,1225.0712
4.9920,1225.0712
4.9960,1223.4178
5.0000,1215.1516
5.0040,1210.1917
5.0080,1216.8048
5.0120,1218.4581
5.0160,1203.5787
5.0200,1201.9254
5.0240,1205.2319
5.0280,1205.2319
5.0320,1200.2721
5.0360,1193.6591
5.0400,1193.6591
5.0440,1198.6189
5.0480,1193.6591
5.0520,1180.4330
5.0560,1183.7394
5.0600,1190.3525
5.0640,1183.7394
5.0680,1173.8198
5.0720,1172.1665
5.0760,1183.7394
5.0800,1173.8198
5.0840,1157.2872
5.0880,1160.5936
5.0920,1165.5535
5.0960,1162.2469
5.1000,1153.9806
5.1040,1152.3274
5.1080,1150.6741
5.1120,1152.3274
5.1160,1142.4078
5.1200,1142.4078
5.1240,1139.1012
5.1280,1137.4480
