Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Calculation:,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw
Filter:,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Data Description:,Az Def.1,Az Def.2,Fx Load1,Fx Load2,Fy Load1,Fy Load2,Fz Load1,Fz Load2,Mx Load1,Mx Load2,My Load1,My Load2,Mz Load1,Mz Load2,Px Def.1,Px Def.2,Pz Def.1,Pz Def.2,Tire Inf.1,Tire Inf.2
SEC,deg,deg,N,N,N,N,N,N,Nm,Nm,Nm,Nm,Nm,Nm,mm,mm,mm,mm,kpa,kpa
0.3840,-0.0004,-0.0004,163.6735,406.7038,233.4348,172.1789,1913.3077,1916.7062,-241.3039,-223.7623,53.1936,138.3034,-21.4877,-47.5335,0.1673,0.1859,5.9028,6.0980,262.6242,260.9385
0.3880,0.0057,-0.0004,170.2865,403.3972,200.3235,192.0457,1930.2998,1906.5110,-239.1647,-226.1154,55.8533,137.4169,-19.5343,-51.4403,0.1766,0.1952,5.9272,6.1224,263.1510,261.7287
0.3920,-0.0004,-0.0004,175.2464,410.0103,206.9457,175.4900,1943.8934,1920.1046,-235.1002,-224.8319,56.7399,139.1900,-20.1854,-46.8823,0.1766,0.2044,5.9272,6.0980,261.8340,262.9403
0.3960,0.0057,-0.0004,175.2464,414.9701,205.2902,162.2455,1930.2998,1933.6982,-238.7368,-222.4788,56.7399,138.3034,-22.7900,-46.8823,0.1859,0.1952,5.9028,6.0980,261.3073,262.4135
0.4000,-0.0004,0.0057,171.9398,413.3169,235.0903,168.8677,1920.1046,1926.9014,-238.5229,-224.6180,57.6264,138.3034,-24.7434,-48.1846,0.1952,0.2044,5.9272,6.0980,262.6242,261.2019
0.4040,-0.0004,-0.0004,175.2464,403.3972,215.2236,180.4567,1926.9014,1903.1124,-238.9508,-227.8268,57.6264,139.1900,-24.0923,-51.4403,0.1952,0.1952,5.9272,6.1224,263.2563,261.5180
0.4080,-0.0004,-0.0065,185.1659,406.7038,203.6346,193.7012,1943.8934,1906.5110,-235.5280,-227.8268,59.3995,140.9631,-22.7900,-52.0915,0.1952,0.1952,5.9028,6.0736,262.0974,262.7296
0.4120,-0.0065,-0.0004,185.1659,418.2766,203.6346,155.6232,1933.6982,1926.9014,-238.3090,-223.7623,60.2861,140.9631,-22.1389,-46.8823,0.1952,0.2044,5.9272,6.1224,261.3599,262.5189
0.4160,-0.0004,-0.0004,183.5127,424.8897,223.5014,160.5899,1920.1046,1933.6982,-241.5178,-221.8370,61.1727,140.0765,-24.0923,-46.8823,0.1952,0.2044,5.9272,6.1224,262.3081,261.0966
0.4200,-0.0004,-0.0065,181.8594,411.6636,205.2902,187.0789,1930.2998,1913.3077,-238.5229,-226.3294,62.9458,141.8497,-27.3480,-50.7892,0.2044,0.2137,5.9272,6.1224,263.2037,261.2546
0.4240,-0.0004,-0.0004,200.0453,408.3570,206.9457,193.7012,1937.0967,1906.5110,-234.4584,-227.1851,64.7189,141.8497,-20.8366,-52.0915,0.2137,0.2230,5.9028,6.1224,262.4135,262.5715
0.4280,-0.0004,-0.0004,195.0855,416.6234,216.8791,165.5566,1933.6982,1926.9014,-236.3837,-221.6231,64.7189,142.7362,-24.7434,-50.7892,0.2137,0.2230,5.9272,6.0980,261.2546,262.5189
0.4320,-0.0004,-0.0004,190.1257,424.8897,220.1903,147.3454,1923.5031,1933.6982,-237.2394,-221.8370,66.4920,142.7362,-29.3014,-48.1846,0.2230,0.2230,5.9028,6.1224,262.2028,261.3073
0.4360,-0.0004,-0.0004,201.6986,421.5832,213.5680,177.1456,1926.9014,1923.5031,-235.1002,-222.2649,66.4920,142.7362,-24.0923,-50.7892,0.2137,0.2323,5.9272,6.1224,263.1510,261.3599
